Name,Description,Price1,Price2,Image
Camotes,Camotes Granel,$1.990,Precio x Kg:$1.990,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/326952a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lider,Esparragos,$2.190,$ Precio x Kg : $7.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/904665a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Pomelo,Pomelo Rosado Malla,$2.990,$ Precio x Kg : $997,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/329812a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Sofruco,Mandarina Sofruco,$3.990,$ Precio x Kg : $2.660,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/941244a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Cebollín,Cebollín Envasado 6 Unidades,$1.150,$ Precio x Un : $1.150,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/331200a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Ciboulette,Ciboulette Bandeja 1 Un,$690,$ Precio x Un : $690,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/325468a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Manzanas,Manzana Royal Bolsa,$2.190,$ Precio x Kg : $1.095,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/6723a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lechuga,Lechuga Bionda Hidropónica,$1.150,$ Precio x Un : $1.150,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/963773a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lechuga,Lechuga Milanesa Unidad,$790,$ Precio x Un : $790,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/7239a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Manzanas,Manzana Jazz Granel,$1.790,Precio x Kg:$1.790,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/328430a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Tomates,Tomates Cocktail Romanita Caja,$1.990,$ Precio x Un : $1.990,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/325774a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Cebolla,Cebolla Pickera Malla,$950,$ Precio x Kg : $950,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/326940a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Porotos Verdes,Porotos Verdes Malla,$1.390,$ Precio x Kg : $2.780,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/328740a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Plátano,Plátano Barraganete Granel,$1.190,Precio x Kg:$1.190,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/330850a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Sofruco,Ciruela Deshuesada,$2.190,$ Precio x Kg : $7.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/352305a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lechuga,Lechuga Corazones de Costina,$2.890,$ Precio x Un : $2.890,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/3787a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Ensalada,Ensalada Zanahoria Baby Bolsa,$3.290,$ Precio x Un : $3.290,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/329328a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Jengibre,Jengibre Bandeja,$1.290,$ Precio x Kg : $10.750,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/329238a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Perejil,Perejil Bolsa,$530,$ Precio x Kg : $4.417,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/325276a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Pimiento,Pimiento Amarillo Unidad,$950,$ Precio x Un : $950,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/326594a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Rúcula,Rúcula Hojas Fresh Cut Pote,$1.790,$ Precio x Kg : $11.933,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/331878a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lider,Mix Salado,$2.790,$ Precio x Kg : $9.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/330178a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Manzanas,Manzana Envy Granel,$1.790,Precio x Kg:$1.790,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/686373a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Apio,Apio Corazones Dole Bolsa,$2.390,$ Precio x Un : $2.390,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/326044a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lechuga,Lechuga Francesa Unidad,$650,$ Precio x Un : $650,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/326436a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Ají,Ají Verde Granel,$335,Precio x Kg:$3.350,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/326296a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Ají,Ají Verde Bandeja,$890,$ Precio x Kg : $7.120,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/3747a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Diente de Dragón,Diente de Dragón,$1.690,$ Precio x Kg : $1.690,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/370686a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Repollo,Repollo Morado Unidad,$1.250,$ Precio x Un : $1.250,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/330876a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Berros,Berros Pote,$1.490,$ Precio x Kg : $7.450,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/328606a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Pomelo,Pomelo Rosado,$1.390,Precio x Kg:$1.390,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/327338a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
