Name,Description,Price1,Price2,Image
Sembrasol,Maní Tostado sin Sal,$1.950,$ Precio x Kg : $4.535,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1016032a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Pepsi + Lay's,"SuperPack Bebida 1,5 L + Papas Fritas Stax Original 134g",$2.190,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000184a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Dulce Locura,Duo Pack Crunchy Dulce,$2.210,$ Precio x Kg : $36.833,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/989752a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Pepsi + Lay's,"SuperPack Bebida 1,5 L + Papas Fritas Asado de Tira 175g",$2.220,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000183a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Pepsi + Lay's,"SuperPack Bebida Zero 1,5 L + Papas Fritas Artesanas Sal 185g",$2.250,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000185a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
En Linea,Cereal Kid Hojuela Maíz sin Azúcar,$2.290,$ Precio x Kg : $6.939,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1053253a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
En Linea,Cereal Kid Bolitas Chocolate sin Azúcar,$2.290,$ Precio x Kg : $6.939,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1053251a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
En Linea,Cereal Kid Hojuela Chocolate sin Azúcar,$2.290,$ Precio x Kg : $6.939,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1053255a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Exclusivo Internet,SuperPack Quix Limón 750ml + Jabón Dove 250ml,$2.550,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000134a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Chef + Lider,Superpack Aceite Maravilla + Atún Lomito al Agua,$2.720,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000101a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Exclusivo Internet,SuperPack Té Lipton 100 bolsitas + Té verde Berries 20 bolsitas,$3.090,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000155a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lider + Malloa,Superpack Atún + Salsas de Tomates,$3.120,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000100a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Exclusivo Internet,SuperPack Rexona: Jabón + Desodorante Spray Mujer,$3.210,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000157a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Elvive,Crema de Peinar Dream Long Liss,$3.290,$ Precio x L : $10.967,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1023512a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Banquete + Malloa,Superpack Arroz Grado 1 + Salsas de Tomate,$3.290,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000102a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
